hashtag_count,mention_count,caption_len_words,caption_len_chars,sentiment_polarity,sentiment_subjectivity,post_hour,post_dayofweek,type_Image,type_Sidecar,type_Video,ownerUsername_bishi_anji,ownerUsername_chaiwalacolombo,ownerUsername_coco_by_cotton_collection,ownerUsername_creperunner,ownerUsername_dedunuuu,ownerUsername_eightypercentplanet,ownerUsername_erichenryheinrichs,ownerUsername_giftedbynolimit,ownerUsername_huf.and.dee,ownerUsername_kanchukas,ownerUsername_kavihari_haputhanthri,ownerUsername_lovekellyfelder,ownerUsername_mbfwsrilanka,ownerUsername_mooseclothingco,ownerUsername_natasha__amarasinghe,ownerUsername_nipun_fdo,ownerUsername_nolimit_srilanka,ownerUsername_odel.official,ownerUsername_officialslc,ownerUsername_onegallefaceofficial,ownerUsername_puitcom,ownerUsername_pulse.lk,ownerUsername_raleeshaa,ownerUsername_ranshan15,ownerUsername_redversbulleruk,ownerUsername_scyllazelus,ownerUsername_shanelle.charukiii,ownerUsername_shaveenaaa_,ownerUsername_shmit_happens,ownerUsername_shx.lu,ownerUsername_thepapare,ownerUsername_tiashafernando,ownerUsername_yourmoosestory,high_engagement_label
0,0,17,100,0.0,0.0,12,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
5,0,43,264,0.4166666666666667,0.6166666666666667,11,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
4,0,51,334,0.30000000000000004,0.6833333333333333,11,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
4,0,40,291,0.23809523809523808,0.5619047619047619,13,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0,73,434,0.4,0.4,11,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0,45,264,0.2681818181818182,0.42727272727272725,3,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
0,0,45,278,0.16666666666666666,0.5,17,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0,54,315,0.26212121212121214,0.6181818181818182,9,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
3,0,44,327,0.31999999999999995,0.47000000000000003,11,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0,53,295,0.3333333333333333,0.375,11,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
